118.172.207.162	8080	HTTP	None	Thailand Proxy Thailand	Kamphaeng Phet	Kamphaeng Phet	17.7%	
61.19.145.66	8080	HTTP	None	Thailand Proxy Thailand	Krung Thep	Bangkok	12.7%	
118.174.232.239	39258	HTTP	High Anonymous	Thailand Proxy Thailand	Krung Thep	Bangkok	14.7%	
118.174.232.234	44618	HTTP	High Anonymous	Thailand Proxy Thailand	Krung Thep	Bangkok	14.6%	
183.88.219.206	41564	HTTPS	Anonymous	Thailand Proxy Thailand			12.9%	
14.207.73.129	8080	HTTP	None	Thailand Proxy Thailand	Krung Thep	Bangkok	18.8%	
1.0.179.132	8080	HTTPS	None	Thailand Proxy Thailand			26.0%	
183.88.73.218	8080	HTTP	None	Thailand Proxy Thailand	Songkhla	Songkhla	21.1%	
119.42.92.229	8080	HTTPS	None	Thailand Proxy Thailand	Krung Thep	Bangkok	27.0%	
118.174.232.128	45019	HTTP	High Anonymous	Thailand Proxy Thailand	Krung Thep	Bangkok	17.4%	
182.52.90.117	45535	HTTP	High Anonymous	Thailand Proxy Thailand	Krung Thep	Bangkok	18.8%	
125.27.251.249	50890	HTTP	High Anonymous	Thailand Proxy Thailand	Krung Thep	Bangkok	13.4%	
118.173.233.149	45160	HTTP	High Anonymous	Thailand Proxy Thailand	Songkhla	Songkhla	18.0%	
125.26.100.113	43876	HTTP	High Anonymous	Thailand Proxy Thailand	Buriram	Buriram	10.8%	
182.52.137.209	8080	HTTPS	None	Thailand Proxy Thailand	Phayao	Phayao	25.0%	

